,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
214,castro,5,IT,1553374500,58,39.93,9.66,286.15,4.1
215,castro,80,ZA,1553378050,93,-28.55,16.43,289.771,1.57
216,castro,75,CA,1553374800,62,54.32,-130.32,284.15,5.1
217,castro,76,RU,1553378002,82,69.35,87.76,259.571,3.47
218,castro,92,VU,1553378051,100,-15.51,167.18,296.721,0.77
219,castro,20,TT,1553377807,54,10.24,-61.45,303.15,3.42
220,castro,0,PT,1553374800,50,38.31,-7.71,287.15,2.1
221,castro,12,SN,1553378052,71,15.66,-13.26,295.621,1.47
222,castro,40,AR,1553374800,64,-24.79,-65.41,294.15,2.6
223,castro,75,IE,1553374800,97,51.55,-9.27,279.15,1.0
224,castro,75,IS,1553377598,100,63.84,-22.43,274.26,4.6
225,castro,32,ZA,1553378053,86,-32.72,25.59,292.171,1.32
226,castro,0,PT,1553377872,59,38.45,-9.1,292.59,4.1
227,castro,36,NL,1553377953,86,51.92,4.46,280.37,1.5
228,castro,64,AU,1553378054,100,-34.72,135.86,288.871,2.22
229,castro,12,BO,1553378054,73,-15.63,-63.08,301.371,1.07
230,castro,1,US,1553377348,11,31.42,-103.49,299.15,4.6
231,castro,64,RU,1553378055,87,68.01,35.02,272.671,4.17
232,castro,75,US,1553377995,67,34.64,-120.46,292.04,2.1
233,castro,20,CA,1553377538,76,48.94,-125.55,287.04,4.1
234,castro,48,PE,1553378116,69,-13.65,-73.37,286.221,1.07
235,castro,8,RU,1553378117,76,66.83,70.83,261.771,1.27
236,castro,0,CL,1553378117,82,-31.63,-71.17,292.171,1.62
237,castro,64,RU,1553377869,70,63.29,118.35,263.421,3.57
238,castro,0,SA,1553374800,68,24.63,46.72,293.15,2.6
239,castro,0,SA,1553374800,46,26.33,43.97,294.15,1.0
240,castro,0,MR,1553374800,82,20.93,-17.03,292.15,5.1
241,castro,56,GL,1553374200,40,68.82,-51.19,254.15,9.3
242,castro,0,CN,1553378118,56,39.73,98.49,261.121,1.77
243,castro,44,ID,1553378118,93,-6.5,108.06,294.521,0.87
244,castro,1,US,1553378118,19,37.77,-87.11,289.26,2.6
245,castro,44,ZA,1553378119,95,-28.77,32.06,294.621,2.92
246,castro,8,IS,1553378119,100,63.44,-20.27,276.171,10.07
247,castro,90,US,1553378108,38,30.04,-94.42,297.15,4.1
248,castro,92,VU,1553378120,100,-19.55,169.27,298.821,7.17
249,castro,12,MX,1553378064,76,31.86,-116.62,292.59,3.13
250,castro,32,ID,1553378121,93,-3.94,119.78,297.271,1.02
251,castro,92,CN,1553378121,95,28.89,110.18,278.721,1.47
252,castro,56,NA,1553374927,90,-22.42,14.98,289.82,2.24
253,castro,0,RU,1553378122,48,69.3,139.9,238.121,1.22
254,castro,75,BR,1553374800,79,-12.7,-38.32,302.15,3.1
255,castro,0,TR,1553377773,53,37.58,36.93,283.71,3.1
256,castro,90,US,1553378001,87,36.29,-95.15,286.15,4.6
257,castro,20,PY,1553374800,55,-25.34,-57.51,303.15,1.0
258,castro,90,RU,1553374800,100,54.52,47.97,268.15,1.0
259,castro,20,BR,1553374800,65,-23.68,-45.44,299.15,4.6
260,castro,0,JP,1553378125,100,43.32,145.57,270.371,4.77
261,castro,88,ID,1553378125,95,-0.9,119.87,292.021,0.67
262,castro,75,RU,1553374800,99,55.51,47.5,273.15,2.0
263,castro,92,NO,1553378126,98,67.67,12.69,277.621,20.42
264,castro,0,IT,1553378115,70,45.18,8.4,288.71,2.1
265,castro,20,JP,1553377994,74,31.42,130.32,274.15,3.1
266,castro,0,MN,1553378127,70,45.76,106.27,264.371,4.12
267,castro,56,CF,1553378127,72,4.12,15.14,298.621,3.42
268,castro,20,BR,1553374800,79,-5.2,-35.46,302.15,4.1
269,castro,92,AU,1553374800,88,-12.18,136.78,299.15,0.5
270,castro,88,AU,1553378128,100,-18.65,146.16,299.371,4.12
271,castro,20,EC,1553374800,73,-2.46,-78.17,297.15,3.1
272,castro,20,CL,1553374800,52,-38.71,-73.16,293.15,2.6
273,castro,0,BS,1553378129,100,25.72,-79.3,296.021,4.37
274,castro,48,CO,1553378129,76,5.45,-73.81,290.371,0.77
275,castro,90,GB,1553378105,75,54.18,-6.34,279.82,3.1
276,castro,0,PY,1553378130,68,-26.98,-56.83,298.871,1.07
277,castro,92,PG,1553378130,100,-10.62,150.67,298.271,4.52
278,castro,75,BR,1553374800,78,-21.64,-41.05,299.15,3.1
279,castro,75,JP,1553374800,51,26.12,127.67,290.93,3.1
280,castro,92,ET,1553378192,46,5.79,36.57,295.371,0.77
281,castro,0,CN,1553378192,93,29.96,122.3,282.671,4.77
282,castro,0,IT,1553378158,53,46.13,9.57,287.59,2.1
283,castro,88,RU,1553378022,69,66.32,-179.17,255.621,2.37
284,castro,80,GB,1553377800,86,60.4,-1.35,278.15,10.3
285,castro,20,IR,1553374800,42,30.29,57.06,282.15,2.1
286,castro,90,US,1553376180,66,55.34,-131.65,284.15,3.1
287,castro,0,LK,1553378195,100,6.48,79.98,300.971,1.32
288,castro,90,CN,1553374800,94,20.01,110.35,294.15,5.0
289,castro,0,IN,1553378195,46,22.88,84.14,287.271,2.57
290,castro,64,NC,1553374800,74,-22.28,166.46,299.15,2.97
291,castro,40,BB,1553374800,65,13.07,-59.53,301.15,7.7
292,castro,40,IR,1553374800,93,27.67,54.14,286.15,1.07
293,castro,20,BR,1553374800,78,-9.67,-35.74,301.15,5.1
294,castro,90,US,1553378132,73,30.3,-99.24,294.26,6.2
295,castro,0,US,1553377614,44,37.17,-99.65,291.48,3.13
296,castro,88,RU,1553378197,86,69.38,178.42,251.921,9.07
297,castro,0,BA,1553376600,93,44.13,18.58,279.15,1.0
298,castro,75,US,1553378116,64,21.39,-157.74,300.15,5.1
299,castro,92,CA,1553377508,88,48.65,-53.11,274.82,5.97
300,castro,64,AR,1553378152,64,-46.43,-67.52,289.121,4.72
301,castro,40,OM,1553374200,78,17.01,54.1,299.15,4.6
302,castro,5,CA,1553378077,32,44.23,-76.48,278.15,5.7
303,castro,0,IN,1553378201,51,14.06,78.75,296.471,2.82
304,castro,92,VU,1553378201,100,-16.11,167.42,296.671,1.62
305,castro,90,CA,1553377971,93,47.66,-52.73,278.71,2.1
306,castro,12,DK,1553378104,86,56.77,9.34,278.71,3.6
307,castro,20,RU,1553378119,50,68.75,161.3,250.171,0.87
308,castro,20,PE,1553378202,94,-10.68,-77.82,294.421,3.37
309,castro,92,CN,1553378202,100,27.3,105.3,278.171,1.22
310,castro,40,CA,1553374800,62,68.22,-135.01,267.15,10.3
311,castro,8,CL,1553378203,70,-28.58,-70.76,295.021,1.32
312,castro,64,AU,1553377435,95,-41.05,145.91,288.15,0.89
313,castro,80,CO,1553378203,88,6.32,-72.56,286.871,0.57
314,castro,0,NP,1553378204,57,27.38,87.21,270.871,0.72
315,castro,0,MX,1553378205,28,20.4,-90.15,306.271,2.17
316,castro,20,RU,1553378205,68,57.28,62.0,266.721,1.12
317,castro,8,RU,1553378205,30,70.0,135.55,243.521,1.27
318,castro,1,CA,1553378176,44,44.08,-80.2,278.15,2.6
319,castro,0,JP,1553377372,57,34.7,138.93,277.59,0.45
320,castro,40,RU,1553374800,86,53.59,49.76,272.15,1.0
321,castro,12,CA,1553378268,55,49.65,-108.41,286.521,2.97
322,castro,36,BR,1553378268,77,-9.39,-38.0,299.571,1.62
323,castro,0,SA,1553374800,39,18.22,42.5,290.15,0.52
324,castro,0,MX,1553378268,27,21.28,-88.93,304.771,2.87
325,castro,20,US,1553377828,42,64.86,-147.8,283.71,3.1
326,castro,32,TL,1553378269,87,-8.93,125.41,294.471,0.67
327,castro,1,US,1553378237,34,46.77,-92.13,285.37,5.7
328,castro,56,ID,1553378164,94,-9.65,120.26,296.671,2.17
329,castro,24,OM,1553378269,93,22.57,59.53,295.921,1.72
330,castro,24,ID,1553378270,94,-7.35,108.11,292.771,0.87
331,castro,20,BR,1553378142,61,-22.21,-49.66,301.15,1.5
332,castro,0,NG,1553378270,51,12.45,10.04,298.871,1.27
333,castro,20,NO,1553374200,61,78.22,15.63,265.15,6.2
334,castro,76,ML,1553378271,15,18.9,-3.53,298.871,4.17
335,castro,40,GF,1553374800,69,4.94,-52.33,301.15,5.7
336,castro,0,RU,1553378143,53,68.06,166.44,249.021,1.02
337,castro,32,SD,1553378272,32,14.2,24.66,293.871,2.32
338,castro,92,RU,1553378272,81,58.39,33.91,275.121,6.62
339,castro,0,BR,1553378272,79,-30.17,-50.22,294.821,2.42
340,castro,0,CN,1553378273,69,34.02,105.29,265.021,0.97
341,castro,0,YE,1553378273,89,14.4,46.47,285.171,1.12
342,castro,0,FR,1553377663,81,46.42,3.91,280.15,1.17
343,castro,75,MY,1553374800,88,4.82,100.71,299.15,1.0
344,castro,92,GB,1553378273,80,54.28,-0.41,280.93,1.0
345,castro,32,SL,1553378275,77,8.94,-13.11,301.521,5.97
346,castro,8,EG,1553378275,35,24.09,32.9,295.521,3.02
347,castro,76,RU,1553378275,74,63.9,122.77,259.521,3.32
348,castro,90,AU,1553375520,93,-37.83,140.78,288.15,1.5
349,castro,90,US,1553378117,67,38.82,-95.69,287.59,6.7
350,castro,88,ID,1553378184,99,-2.97,119.9,292.171,0.97
351,castro,0,LY,1553378276,54,29.03,21.55,292.021,5.92
352,castro,0,NG,1553378277,61,8.32,4.47,301.221,3.82
353,castro,20,CA,1553374800,52,53.2,-105.75,281.15,7.2
354,castro,0,MV,1553378278,100,6.62,73.07,302.021,2.32
355,castro,0,IR,1553378279,73,29.11,58.36,281.371,1.72
356,castro,0,CN,1553378279,39,39.63,118.17,274.421,4.47
357,castro,40,ID,1553374800,94,3.3,117.63,298.15,1.0
358,castro,12,CN,1553378281,65,42.78,124.11,271.421,6.27
359,castro,0,KR,1553374800,59,35.24,129.21,274.15,1.0
360,castro,68,RU,1553378281,84,71.64,128.87,255.371,1.32
361,castro,75,US,1553378235,36,43.87,-116.5,290.15,3.6
362,castro,75,EC,1553374800,83,-0.6,-80.42,302.15,4.1
363,castro,40,PE,1553374800,30,-13.71,-76.2,295.15,9.8
364,castro,0,UG,1553378344,45,3.51,34.14,294.071,2.72
365,castro,75,AU,1553378237,94,-20.01,148.25,299.26,2.6
366,castro,1,US,1553378045,54,46.41,-105.84,286.15,2.6
367,castro,0,MN,1553376600,60,47.92,106.92,258.15,1.0
368,castro,1,US,1553378315,36,43.23,-86.25,281.48,3.1
369,castro,92,CN,1553378346,100,28.88,112.34,281.421,4.02
370,castro,36,RU,1553378346,78,50.04,46.89,271.921,1.32
371,castro,44,RU,1553378346,57,56.36,114.84,263.621,1.52
372,castro,0,FR,1553378106,65,45.68,6.39,283.71,1.0
373,castro,68,CO,1553378347,32,6.3,-70.2,309.171,2.42
374,castro,75,JP,1553374800,68,24.34,124.16,292.15,8.2
375,castro,8,AU,1553378124,88,-28.65,153.62,300.37,1.0
376,castro,20,CL,1553374800,77,-29.95,-71.34,289.15,5.1
377,castro,0,CN,1553378146,29,38.42,77.24,284.82,0.45
378,castro,92,VU,1553378349,100,-16.07,167.38,296.671,1.62
379,castro,48,NG,1553378349,66,7.37,7.63,301.871,4.57
380,castro,0,PH,1553378349,100,13.32,122.68,298.821,5.92
381,castro,0,IN,1553374800,49,28.58,77.04,293.15,2.6
382,castro,24,DK,1553378104,80,56.38,9.66,278.71,3.1
383,castro,88,CD,1553378350,92,-6.42,20.79,296.421,0.87
384,castro,0,PF,1553378351,99,-16.7,-151.02,302.071,4.47
385,castro,20,JP,1553374941,80,35.73,140.83,272.15,1.5
386,castro,20,RU,1553378352,62,49.74,142.83,253.121,2.17
387,castro,36,ET,1553378352,67,6.99,35.58,292.371,1.42
388,castro,0,CA,1553378352,51,49.22,-84.78,279.771,5.22
389,castro,92,PK,1553378353,78,25.12,62.33,296.271,2.77
390,castro,92,ET,1553378353,20,10.07,34.53,300.621,2.22
391,castro,48,RU,1553378353,87,63.51,53.41,271.271,3.87
392,castro,56,ID,1553378354,93,-3.99,122.52,295.921,1.27
393,castro,0,BR,1553374800,47,-29.77,-57.08,300.15,3.1
394,castro,76,RU,1553378354,72,63.75,121.63,261.071,3.47
395,castro,32,BR,1553378354,89,-9.01,-35.22,299.871,3.87
396,castro,92,CN,1553378355,81,29.72,112.52,279.271,1.77
397,castro,75,AU,1553376120,100,-20.31,118.58,299.15,16.5
398,castro,0,CA,1553378153,68,50.56,-96.99,283.15,2.68
399,castro,90,US,1553378040,50,43.62,-95.6,285.15,3.1
400,castro,90,US,1553378116,54,21.35,-158.09,300.15,4.6
401,castro,12,NO,1553377800,89,71.0,24.66,273.15,6.2
402,castro,75,BR,1553374800,83,-20.67,-40.5,299.26,6.2
403,castro,0,SA,1553374800,25,17.54,44.22,298.15,1.12
404,castro,12,ID,1553378418,96,-10.16,123.6,300.521,4.02
405,castro,0,YE,1553378419,96,13.06,44.88,293.171,1.72
406,castro,40,CA,1553374800,50,54.77,-101.88,272.15,6.2
407,castro,0,BW,1553378419,36,-24.69,23.5,297.921,5.52
408,castro,0,AU,1553378419,89,-24.4,150.51,292.221,1.22
